Feed,,Rank,Station,City,Air Time,ET Time,Main Name,Main Phone #,#2 Name,Phone #2,#3 Name,Phone #3,#4 Name,Phone #4
6:00 PM,,12,KPHO-TV,"PHOENIX, AZ",4:30 PM,6:30 PM,Atlanta Hub,404-327-3034,Atlanta Hub,404-327-3035,,,,
6:00 PM,,11,WFTS,"TAMPA, FL",7:30 PM,7:30 PM,,813-354-2879,Feed Room,813-354-2888,,,,
3:00 PM,MIGHT,13,KING,"SEATTLE, WA",3:30 PM,6:30 PM,Charlotte Hub,980-556-7609,Charlotte Hub,980-556-7606,In House #,206-448-3996,,
3:00 PM,,14,WDIV-TV,"DETROIT, MI",4:30 PM,4:30 PM,Atlanta Hub: Injest,678-421-6808,MC,678-421-6937,MC,313-222-0560,,
6:00 PM,,15,WDIV-TV,"DETROIT, MI",3:30 AM,12:00 AM,Encompass Hub,678-421-6825,Encompass Hub,678-421-6613,,,,
3:00 PM,,16,KARE-DT,"MINNEAPOLIS, MN ",3:30 PM,4:30 PM,Charlotte Hub,980-556-7609,Charlotte Hub,980-556-7606,In House #,763-797-7294,,
6:00 PM,,15,WKMG,"ORLANDO, FL",7:30 PM,7:30 PM,Encompass Hub,678-421-6825,Encompass Hub,678-421-6613,,,,
3:00 PM,,17,KDVR,"DENVER, CO",2:00 PM,4:00 PM,Doug Loos,303-566-7657,Doug Loos cell,605-484-8547,,,,
6:00 PM,,18,WSVN,"MIAMI, FL",7:00PM & 12:00AM,7:00PM & 12:00AM,,305-795-2695,,305-795-2693,,,,
6:00 PM,,19,WUAB,"CLEVELAND, OH",7:00 PM,7:00 PM,,216-367-7459,,,,,,
6:00 PM,,20,KXTV,"SACRAMENTO, CA",4:30 PM,7:30 PM,Charlotte Hub,980-326-2482,Charlotte Hub,980-556-7604,,,,
6:00 PM,,23,KGW,"PORTLAND, OR",7:30 PM,10:30 PM,Charlotte Hub,980-326-2482,Charlotte Hub,980-556-7604,,,,
6:00 PM,,21,WSOC-DT,"CHARLOTTE, NC",7:00 PM,7:00 PM,,704-335-4796,,,,,,
3:00 PM,RERACK,22,WRAL,"RALEIGH, NC",3:30 PM,3:30 PM,,919-821-8561,,919-821-8563,,,,
6:00 PM,,24,WRAL-DT,"RALEIGH, NC",7:30 PM,7:30 PM,,919-821-8561,,919-821-8563,,,,
3:00 PM,,24,KSDK,"ST. LOUIS, MO",3:00 PM,4:00 PM,Charlotte Hub,980-326-2482,Charlotte Hub,980-556-7604,,,,
6:00 PM,,25,WISH-TV,"INDIANAPOLIS, IN",7:00PM & 12:30AM,7:00PM &12:30AM,,317-874-0392,,317-956-8875,,,,
6:00 PM,,27,WTAE-TV,"PITTSBURGH, PA",7:00 PM,7:00 PM,,412-244-4430,,,,,,
6:00 PM,,30,KFMB-TV,"SAN DIEGO, CA ",7:30PM & 2:07AM,10:30PM & 5:07AM,Charlotte Hub,980-326-2482,Charlotte Hub,980-556-7604,,,,
6:00 PM,,29,WBAL-TV,"BALTIMORE, MD",7:00 PM,7:00 PM,,410-338-6461,,,,,,
6:00 PM,,26,WTVF,"NASHVILLE, TN",1:07 AM,2:07 AM,Air Control,615-248-5333,Control Room B,615-248-5585,,,,
3:00 PM,MIGHT,29,WBAL-TV,"BALTIMORE, MD",7:00 PM,7:00 PM,,410-338-6461,,,,,,
6:00 PM,,28,KTVX-DT,"SALT LAKE CITY, UT",6:30PM & 12:35AM,8:30PM & 2:35AM,Denver Hub,303-566-7731,Denver Hub,801-270-2312,,,,
3:00 PM,MIGHT,31,KSAT-TV,"SAN ANTONIO, TX",4:00 PM,5:00 PM,Atlanta Hub: Injest,678-421-6808,MC,678-421-6937,Tom Rice,678-421-6825,Backup,210-351-1249
6:00 PM,,32,WFSB-DT,"HARTFORD, CT",7:30 PM,7:30 PM,Atlanta Hub,404-327-3034,Atlanta Hub,404-327-3035,,,,
6:00 PM,,35,WCMH-TV,"COLUMBUS, OH",7:30 PM,7:30 PM,Indianapolis Hub,317-943-8109,Indianapolis Hub,317-943-8098,,,,
3:00 PM,MIGHT,35,WCMH-TV,"COLUMBUS, OH",7:30 PM,7:30 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,614-265-7914,,
6:00 PM,,36,WYFF,"GREENVILLE, SC",7:30 PM,7:30 PM,,864-240-5220,,,,,,
3:00 PM,,34,KVUE,"AUSTIN, TX ",3:00 PM,4:00 PM,,512-533-2276,,512-869-9157,,,,
3:00 PM,MIGHT,36,WYFF,"GREENVILLE, SC",7:30 PM,7:30 PM,,864-240-5220,,,,,,
6:00 PM,,36,WKRC-DT,"CINCINNATI, OH",7:00 PM,7:00 PM,,513-763-5637,,,,,,
6:00 PM,,37,WDJT-DT,"MILWAUKEE, WI",12:37 AM,1:37 AM,,414-607-8156,,,,,,
3:00 PM,,38,WTMJ,MILWAUKEE,3:30 PM,4:30 PM,,414-967-5272,Tony Lucas,414-967-5490,,,,
6:00 PM,,39,WPEC,"WEST PALM BEACH, FL",7:30 PM,7:30 PM,,561-881-0751,,561-881-0832,,,,
6:00 PM,,40,KTNV-TV,"LAS VEGAS, NV",7:00PM & 2:07AM,10:00PM & 5:07AM,,702-257-8356 (unblock 412),David,702-971-5267,Karina 951-756-0543,,,
3:00 PM,MIGHT,40,KTNV-TV,"LAS VEGAS, NV",7:00 PM,10:00 PM,,702-257-8356,David Oshaughnessy (MC),702-257-8402,,,,
3:00 PM,,41,WJXT,"JACKSONVILLE, FL",4:30 PM,4:30 PM,Atlanta Hub: Injest,678-421-6808,MC,678-421-6937,Tom Rice,678-421-6825,Backup,904-393-9875
3:00 PM,MIGHT,41,WOOD-TV,"GRAND RAPIDS, MI",7:30 PM,7:30 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,,,
6:00 PM,,43,WJXT,"JACKSONVILLE, FL",7:30 PM,7:30 PM,Encompass Hub,678-421-6825,Encompass Hub,678-421-6613,,,,
6:00 PM,,44,KAUT-DT,"OKLAHOMA CITY, OK",9:30 PM,10:30 PM,,405-478-6300,,,,,,
6:00 PM,,45,WBRC,"BIRMINGHAM, AL",6:30PM & 3:30AM,7:30PM & 3:30AM,,205-583-4364,,,,,,
3:00 PM,RERACK,45,WXII,"GREENSBORO, NC",3:30 PM,3:30 PM,,336-703-6177,,,,,,
6:00 PM,,46,WTKR,"NORFOLK, VA",7:00PM  & 10:30PM,7:00PM & 10:30PM,,757-446-1326,,757-446-1327,,,,
6:00 PM,,47,WXII-TV,"GREENSBORO, NC",7:00 PM,7:00 PM,,336-703-6177,,,,,,
3:00 PM,,47,KFOR,"OKLAHOMA CITY, OK ",3:30 PM,4:30 PM,Nexstar Springfield Hub,413-377-2214 x6,Backup,317-956-8852,,,,
3:00 PM,MIGHT,47,WHTM-TV,"HARRISBURG, PA",7:30 PM,7:30 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,,,
3:00 PM,MIGHT,48,WHAS-TV,"LOUISVILLE, KY",7:30 PM,7:30 PM,,502-582-7777,,,,,,
6:00 PM,,49,WHAS-TV,"LOUISVILLE, KY",7:30 PM,7:30 PM,,502-582-7777,,,,,,
3:00 PM,MIGHT,49,KOB-TV,"ALBUQUERQUE, NM",3:00 PM,5:00 PM,,505-764-2480,,505-764-2528,,,,
6:00 PM,,50,WWL-TV,"NEW ORLEANS, LA",6:30PM & 12:30AM,7:30PM & 1:30AM,,504-529-6247,,,,,,
6:00 PM,,51,WREG,MEMPHIS,1:30 AM,2:30 AM,,901-543-2169,,,,,,
6:00 PM,,52,WLNE-TV,"PROVIDENCE, RI",7:30 PM,7:30 PM,,401-453-8061,,,,,,
6:00 PM,,53,WNLO,"BUFFALO, NY ",6:00PM & 12:30AM,6:00PM & 12:30AM,"Springfield, Massachusetts Hub",413-377-2214,Backup #,317-956-8852,,,,
6:00 PM,,54,WINK-TV,"FT. MYERS, FL",7:30 PM,7:30 PM,,239-338-4318,,,,,,
3:00 PM,,54,WKBW,BUFFALO,4:30 PM,4:30 PM,,716-840-7812,,,,,,
6:00 PM,,55,KSEE,"FRESNO, CA",7:00PM & 1:35AM,10:00PM & 4:35AM,,559-761-0223,,,,,,
6:00 PM,,56,WWBT,"RICHMOND, VA",7:30PM & 2:07AM,7:30PM & 2:07AM,,804-230-2770,,,,,,
6:00 PM,,57,WJTC-DT,"MOBILE, AL / PENSACOLA, FL",7:30 PM,8:30 PM,,850-455-4253,,,,,,
6:00 PM,,58,WNEP-TV,"WILKES BARRE, PA",7:30 PM,7:30 PM,,980-556-7636,,,,,,
3:00 PM,MIGHT,58,KATV,"LITTLE ROCK, AR",4:00 PM,5:00 PM,,501-324-7551,,,,,,
6:00 PM,,62,WNYT,"ALBANY, NY",7:30 PM,7:30 PM,Engineering,518-207-4861,MC,518-436-4921,,,,
3:00 PM,MIGHT,60,WNYT,"ALBANY, NY",7:30 PM,7:30 PM,Engineering,518-207-4861,MC,518-436-4921,,,,
6:00 PM,,61,KMYT-DT,"TULSA, OK",6:00 PM,7:00 PM,,918-388-5258,,,,,,
3:00 PM,MIGHT,60,WVLT-DT,"KNOXVILLE, TN",7:30 PM,7:30 PM,,865-766-8180,,,,,,
6:00 PM,,60,WVLT-DT,"KNOXVILLE, TN",7:30 PM,7:30 PM,,865-766-8180,,,,,,
3:00 PM,MIGHT,62,KJRH,"TULSA, OK",4:30 PM,6:30 PM,,918-748-1408,Scripps Hub,317-506-1910,,,,
3:00 PM,MIGHT,63,WLEX-TV,"LEXINGTON, KY",4:30 PM,4:30 PM,,859-252-7062,,,,,,
6:00 PM,,64,WDTN,"DAYTON, OH",7:00 PM,7:00 PM,Indianapolis Hub,317-943-8109,Indianapolis Hub,317-943-8098,,,,
6:00 PM,,65,KVOA,"TUCSON, AZ",6:30PM & 4:00AM,8:30PM & 6:00AM,,520-884-4650,,,,,,
3:00 PM,MIGHT,65,WDTN,"DAYTON, OH",7:00 PM,7:00 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,,,
3:00 PM,MIGHT,69,KHON-TV,"HONOLULU, HI",4:30 PM,10:30 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,808-591-4235,,
3:00 PM,MIGHT,69,KHON-TV,"HONOLULU, HI",10:35 PM,4:35 AM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,,,
6:00 PM,,71,WSLS-TV,"ROANOKE, VA",7:30 PM,7:30 PM,Encompass Hub,678-421-6825,Encompass Hub,678-421-6613,,,,
3:00 PM,LIVE,73,WOWT,OMAHA,2:00 PM,3:00 PM,,402-346-6666,,,,,,
3:00 PM,LIVE,79,WROC-TV,"ROCHESTER, NY",3:00 PM,3:00 PM,,585-287-8014,,,,,,
3:00 PM,MIGHT,75,WHNT-TV,"HUNTSVILLE, AL",12:37 AM,1:37 AM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,256-535-9265,,
5:00 PM,RERACK,87,KKTV,"COLORADO SPRINGS, CO",3:30 PM,5:30 PM,,719-634-2844,,,,,,
3:00 PM,,83,KWTX,WACO,3:00 PM,4:00 PM,,254-741-5858,,,,,,
5:00 PM,RERACK,83,KBTX-DT,"BRYAN, TX",4:30 PM,5:30 PM,,979-595-1574,,,,,,
6:00 PM,,88,WSYR-DT,"SYRACUSE, NY",4:30 PM,4:30 PM,,315-446-7564,,,,,,
3:00 PM,,89,WCSC-TV,"CHARLESTON, SC",4:30 PM,4:30 PM,,843-402-5709,,,,,,
3:00 PM,,90,WPSD-TV,"PADUCAH, KY  ",3:00 PM,4:00 PM,,270-415-1977,,,,,,
3:00 PM,,91,WAND,CHAMPAIGN,3:00 PM,4:00 PM,,217-424-2500,,,,,,
3:00 PM,MIGHT,92,KTBS-TV,"SHREVEPORT, LA",4:00 PM,5:00 PM,,318-861-5860,,,,,,
5:00 PM,RERACK,94,KWWL,"CEDAR RAPIDS, IA",4:30 PM,5:30 PM,,319-291-1285,,,,,,
3:00 PM,MIGHT,95,WAFB,"BATON ROUGE, LA",4:30 PM,5:30 PM,,225-215-4752,,,,,,
3:00 PM,RERACK,96,KXNW,"FT. SMITH, AR",2:30 PM,3:30 PM,,479-684-4455,,,,,,
3:00 PM,MIGHT,98,KTVB,BOISE,3:30 PM,5:30 PM,,208-321-5800,,,,,,
3:00 PM,LIVE,99,WLBT,"JACKSON, MS ",2:00 PM,3:00 PM,,601-960-4431,,,,,,
5:00 PM,RERACK,104,WHBF-TV,"DAVENPORT, IA",4:30 PM,5:30 PM,MC,585-287-8014,,,,,,
5:00 PM,RERACK,107,KSNB,"LINCOLN, NE",4:30 PM,5:30 PM,,402-467-9247,,,,,,
3:00 PM,MIGHT,112,WTAJ,"JOHNSTOWN, PA",7:00 PM,7:00 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,,814-942-1010 x152,,
3:00 PM,MIGHT,108,WANE-TV,"FORT WAYNE, IN",5:30 PM,5:30 PM,Nexstar Indianapolis Hub,317-943-8098,Nexstar Indianapolis Hub,317-943-8104,IT Dept.,260-481-1592,,
3:00 PM,LIVE,111,KSFY,SIOUX FALLS,2:00 PM,3:00 PM,,605-373-7322,,,,,,
3:00 PM,,113,WDAY,FARGO,3:30 PM,4:30 PM,,701-241-5337,,,,,,
5:00 PM,RERACK,113,WDAY-TV,"FARGO, ND",4:30 PM,5:30 PM,,701-241-5337,,,,,,
3:00 PM,RERACK,115,WGGB,"SPRINGFIELD, MA",3:30 PM,3:30 PM,Atlanta Hub,404-327-3036,,,,,,
3:00 PM,MIGHT,119,WMGT,MACON,4:30 PM,4:30 PM,,478-745-4141 x145,,,,,,
3:00 PM,MIGHT,121,WAKA,MONTGOMERY,4:00 PM,5:00 PM,,334-420-3280,,,,,,
5:00 PM,LIVE,121,WAKA,"MONTGOMERY, AL",4:00 PM,5:00 PM,,334-420-3280,,,,,,
3:00 PM,,125,KATC,"LAFAYETTE, LA ",3:00 PM,4:00 PM,,337-236-6327,,,,,,
3:00 PM,,126,WECT,"WILMINGTON, NC",4:30 PM,4:30 PM,,910-791-8213,,,,,,
3:00 PM,,128,KZTV-TV,"CORPUS CHRISTI, TX",3:00 PM,4:00 PM,,361-886-1133,,,,,,
3:00 PM,MIGHT,132,KFDA-DT,"AMARILLO, TX",4:00 PM,5:00 PM,,806-331-9814,,,,,,
3:00 PM,,135,WTVA,"COLUMBUS, MS",3:30 PM,4:30 PM,,662-842-7620 x55,,662-842-7620 x54,,,,
3:00 PM,MIGHT,131,WRDE,"SALISBURY, MD",5:00 PM,5:00 PM,,443-880-9059,,,,,,
3:00 PM,MIGHT,137,WIFR-TV,"ROCKFORD, IL",4:30 PM,5:30 PM,,815-987-5344,,,,,,
3:00 PM,LIVE,141,KSNT-DT,"TOPEKA, KS",2:00 PM,3:00 PM,,785-582-4040,,785-582-3244,,,,
3:00 PM,,142,KCBD,"LUBBOCK, TX",2:30 PM,3:30 PM,,806-761-4231,,,,,,
5:00 PM,RERACK,144,KWES-TV / KWAB,"ODESSA MIDLAND, TX",4:30 PM,5:30 PM,,432-701-6444,,432-567-9999 x6444,,,,
3:00 PM,,154,WSEE,"ERIE, PA",4:30 PM,4:30 PM,Elmira Hub,607-739-3603,,,,,,
3:00 PM,,153,KODE-TV,"JOPLIN, MO ",3:00 PM,4:00 PM,Dallas Hub,214-252-3374,,,,,,
5:00 PM,RERACK,158,WLOX,"BILOXI, MS",4:30 PM,5:30 PM,,228-896-0754,,,,,,
3:00 PM,MIGHT,160,KTEN-D3,"SHERMAN, TX",4:30 PM,5:30 PM,,903-548-4026,,,,,,
5:00 PM,RERACK,159,WTHI-TV,"TERRE HAUTE, IN",5:30 PM,5:30 PM,,812-232-2317,,,,,,
3:00 PM,,162,KPVI-DT,"IDAHO FALLS, ID",2:30 PM,4:30 PM,,208-235-3105,,,,,,
3:00 PM,,166,KTAB-TV,"ABILENE, TX",3:30 PM,4:30 PM,,325-691-2207,,,,,,
3:00 PM,MIGHT,164,KYMA-DT,"YUMA, AZ",3:00 PM,5:00 PM,,928-217-5501,,,,,,
5:00 PM,RERACK,166,WVVA,"BLUEFIELD, WV",5:30 PM,5:30 PM,,304-324-0671,,,,,,
5:00 PM,LIVE,168,WDAM-DT,"LAUREL-HATTIESBURG, MS",4:00 PM,5:00 PM,Traffic Department,601-450-8341,MC,601-450-8320,MC Supervisor,601-450-8327,,
5:00 PM,RERACK,170,KPLC-DT,"LAKE CHARLES, LA",4:30 PM,5:30 PM,,337-437-7519,,337-437-7527,,,,
3:00 PM,MIGHT,180,WBKO,"BOWLING GREEN, KY",4:30 PM,5:30 PM,,270-781-1311,,,,,,
3:00 PM,MIGHT,183,KLAX-TV,"ALEXANDRIA, LA",5:00 PM,6:00 PM,,318-473-0031 x228,,,,,,
3:00 PM,MIGHT,181,WWTI,"WATERTOWN, NY",5:00 PM,5:00 PM,,315-251-1564,,,,,,
3:00 PM,MIGHT,182,KAIT-D2,"JONESBORO, AR",4:00 PM,5:00 PM,,870-336-1852,,,,,,
5:00 PM,RERACK,188,WLFI-DT,"LAFAYETTE, IN",5:30 PM,5:30 PM,,765-237-5022,,,,,,
3:00 PM,MIGHT,187,WLIO-DT,"LIMA, OH",5:00 PM,5:00 PM,,419-222-1303,,,,,,
5:00 PM,RERACK,193,WTAP-DT,"PARKERSBURG,WV",5:30 PM,5:30 PM,,304-485-4584,,,,,,
3:00 PM,,196,KLST,"SAN ANGELO, TX",3:30 PM,4:30 PM,,325-793-2231,,,,,,
3:00 PM,MIGHT,199,KEYC,"MANKATO, MN",4:30 PM,5:30 PM,,507-387-1685,,,,,,
3:00 PM,,199,WAGM,"PRESQUE ISLE, ME",4:30 PM,4:30 PM,,207-764-4461 x265,,,,,,
